created_doc_time,avail_qty,biddingzone_domain,businesstype,curvetype,docstatus,end,entsoe_mrid,nominal_power,plant_type,production_resource_id,production_resource_location,production_resource_name,production_resource_psr_name,pstn,qty_uom,resolution,revision,start,source,start_local,end_local,duration_days,reduction_mw,event_id,kind,unit_or_pair,unit_name,entsoe_source,duplicate_of,in_domain,out_domain,pair,kept,nominal_mw_proxy,season,hydro_plausible,matched_thread_ids,rejection_reason,accepted,revision_surprise,first_publication_lead_hours,n_versions
2025-11-07 22:11:18+00:00,200,,Unplanned outage,A03,,2024-05-15 12:40:00+00:00,fZcChUCZ2OdLkrQ4QqBbYg,,,,,,,1,MAW,PT1M,8,2024-05-10 19:08:00+00:00,,2024-05-10 21:08:00+02:00,2024-05-15 14:40:00+02:00,4.730555555555555,1000.0,T010,transmission,fi_se3,,A78,,SE_3,FI,fi_se3,True,1200.0,spring,True,e713d6b1-4d81-451b-be41-e59773038511,,True,True,-0.5316666666666666,8
2025-11-07 23:57:43+00:00,100,,Unplanned outage,A03,,2024-06-27 21:59:00+00:00,yp9pIjhDtVm4QRR8yTRTsQ,,,,,,,1,MAW,PT1M,2,2024-06-18 15:00:00+00:00,,2024-06-18 17:00:00+02:00,2024-06-27 23:59:00+02:00,9.290972222222223,1100.0,T011,transmission,fi_se3,,A78,,SE_3,FI,fi_se3,True,1200.0,summer,True,f2578225-b470-4b85-ae92-1e4ea03e0b36,,True,True,23.280833333333334,2
2025-11-08 01:41:56+00:00,800,,Unplanned outage,A03,,2024-07-24 06:05:00+00:00,-Jmk3nnGNDtZNLeq0MWbkA,,,,,,,1,MAW,PT1M,4,2024-07-18 13:00:00+00:00,,2024-07-18 15:00:00+02:00,2024-07-24 08:05:00+02:00,5.711805555555555,400.0,T012,transmission,fi_se3,,A78,,SE_3,FI,fi_se3,True,1200.0,summer,False,3879bba3-cadb-474c-a7cc-b946132c5797,,True,True,0.7163888888888889,4
2025-11-08 01:41:56+00:00,800,,Unplanned outage,A03,,2024-07-24 06:05:00+00:00,mQMtfXVp5dKOMS0aWuTTpg,,,,,,,1,MAW,PT1M,4,2024-07-18 13:00:00+00:00,,2024-07-18 15:00:00+02:00,2024-07-24 08:05:00+02:00,5.711805555555555,400.0,T013,transmission,se3_fi,,A78,,FI,SE_3,se3_fi,True,1200.0,summer,False,3879bba3-cadb-474c-a7cc-b946132c5797,,True,True,0.7163888888888889,4
2025-11-08 04:20:30+00:00,1395,,Unplanned outage,A03,,2024-11-07 20:00:00+00:00,jKv8-j35osrys-1sV1t9UA,,,,,,,1,MAW,PT1M,3,2024-11-04 08:00:00+00:00,,2024-11-04 09:00:00+01:00,2024-11-07 21:00:00+01:00,3.5,700.0,T014,transmission,se3_no1,,A78,,NO_1,SE_3,se3_no1,True,2095.0,autumn,False,dade174c-36a7-4886-8e9a-9005854f03d4,,True,True,1075.1572222222221,3
2025-11-08 07:23:57+00:00,200,,Unplanned outage,A03,,2025-03-31 21:59:00+00:00,5IjfBKN_XHIO-wqx-y5JIQ,,,,,,,1,MAW,PT1M,2,2025-02-28 15:11:00+00:00,,2025-02-28 16:11:00+01:00,2025-03-31 23:59:00+02:00,31.283333333333335,1000.0,T015,transmission,fi_se3,,A78,,SE_3,FI,fi_se3,True,1200.0,winter,False,7d0432de-3b25-4165-81f9-556fe764a0bf,,True,True,-0.04638888888888889,4
2025-11-08 16:43:01+00:00,345,,Unplanned outage,A03,,2025-10-14 04:59:00+00:00,L3doWdFutUUqeAPdCcqQxg,,,,,,,1779,MAW,PT1M,5,2025-07-25 12:29:00+00:00,,2025-07-25 14:29:00+02:00,2025-10-14 06:59:00+02:00,80.6875,370.0,T016,transmission,se3_dk1,,A78,,DK_1,SE_3,se3_dk1,True,715.0,summer,False,152b3fe2-ee7b-4df0-aead-341d9dcd3a99,,True,True,29.45888888888889,8
2025-11-08 16:43:01+00:00,0,,Unplanned outage,A03,,2025-10-15 18:00:00+00:00,KdXcPu-B22S0aFbAwg8uAg,,,,,,,117969,MAW,PT1M,5,2025-10-14 04:59:00+00:00,,2025-10-14 06:59:00+02:00,2025-10-15 20:00:00+02:00,1.542361111111111,715.0,T017,transmission,dk1_se3,,A78,,SE_3,DK_1,dk1_se3,True,715.0,autumn,False,152b3fe2-ee7b-4df0-aead-341d9dcd3a99,,True,True,1965.9588888888889,8
2025-12-30 09:03:22+00:00,800,,Unplanned outage,A03,,2025-12-31 23:00:00+00:00,gB8neu4riW2DRZZTnX1VHg,,,,,,,1,MAW,PT1M,1,2025-12-30 23:00:00+00:00,,2025-12-31 00:00:00+01:00,2026-01-01 00:00:00+01:00,1.0,400.0,T018,transmission,fi_se3,,A78,,SE_3,FI,fi_se3,True,1200.0,winter,False,d767dc25-bc4f-43c0-ad3e-96b742b4a1aa,,True,False,13.959166666666667,1
2026-07-01 10:00:31+00:00,300,,Unplanned outage,A03,,2026-07-01 22:00:00+00:00,Js0C78G3BJcNPCeDyq2wHg,,,,,,,1,MAW,PT1M,4,2026-05-24 22:00:00+00:00,,2026-05-25 00:00:00+02:00,2026-07-02 00:00:00+02:00,38.0,900.0,T019,transmission,fi_se3,,A78,,SE_3,FI,fi_se3,True,1200.0,spring,True,626b62a0-8e90-4bcb-b414-cd609cbc0125,,True,True,12.427222222222222,7
