unit_id,Bidding Zone,Installed Capacity [MW],Name,Production Type,Start,Voltage Connection Level [kV],query_year
46WPU0000000016U,10Y1001A1001A46L,1118.0,Forsmark block 2,Nuclear,2020-12-31 23:00:00+00:00,400,2022
46WPU0000000017S,10Y1001A1001A46L,1172.0,Forsmark block 3,Nuclear,2020-12-31 23:00:00+00:00,400,2022
46WPU0000000018Q,10Y1001A1001A46L,330.0,Trängslet,Hydro Water Reservoir,2020-12-31 23:00:00+00:00,130,2022
46WPU0000000022Z,10Y1001A1001A46L,140.0,Höljes,Hydro Water Reservoir,2020-12-31 23:00:00+00:00,130,2022
46WPU0000000023X,10Y1001A1001A46L,504.0,Värtaverket,Fossil Oil,2020-12-31 23:00:00+00:00,110,2022
46WPU0000000053O,10Y1001A1001A46L,120.0,Älvkarleby,Hydro Water Reservoir,2020-12-31 23:00:00+00:00,70,2022
46WPU0000000054M,10Y1001A1001A46L,168.0,Hojum,Hydro Water Reservoir,2020-12-31 23:00:00+00:00,130,2022
46WPU0000000055K,10Y1001A1001A46L,120.0,Uppsala KVV,Fossil Peat,2020-12-31 23:00:00+00:00,40,2022
46WPU0000000061P,10Y1001A1001A46L,1400.0,Oskarshamn 3,Nuclear,2020-12-31 23:00:00+00:00,400,2022
46WPU0000000062N,10Y1001A1001A46L,260.0,Rya KVV ,Fossil Gas,2020-12-31 23:00:00+00:00,130,2022
46WPU0000000063L,10Y1001A1001A46L,100.0,Åbyverket G3,Biomass,2020-12-31 23:00:00+00:00,130,2022
46WPU0000000064J,10Y1001A1001A46L,245.0,Aros G3,Fossil Oil,2020-12-31 23:00:00+00:00,130,2022
46WPU0000000065H,10Y1001A1001A46L,213.0,Jädraås Vindkraftpark,Wind Onshore,2020-12-31 23:00:00+00:00,130,2022
46WPU0000000115S,10Y1001A1001A46L,115.0,Svartnäs,Wind Onshore,2020-12-31 23:00:00+00:00,130,2022
46WPU00000000121,10Y1001A1001A46L,1063.0,Ringhals 3,Nuclear,2020-12-31 23:00:00+00:00,400,2022
46WPU0000000130W,10Y1001A1001A46L,11.8,Eken,Solar,2021-12-31 23:00:00+00:00,130,2022
46WPU0000000131U,10Y1001A1001A46L,116.0,Målarberget,Wind Onshore,2021-12-31 23:00:00+00:00,130,2022
46WPU0000000139E,10Y1001A1001A46L,130.0,Bäckhammar,Wind Onshore,2020-12-31 23:00:00+00:00,130,2022
46WPU0000000154I,10Y1001A1001A46L,240.0,Storflötten och Lästerhöjden,Wind Onshore,2020-12-31 23:00:00+00:00,36,2022
46WPU0000000156E,10Y1001A1001A46L,61.0,Kronoberget,Wind Onshore,2020-12-31 23:00:00+00:00,130,2022
46WPU0000000014Y,10Y1001A1001A46L,1134.0,Ringhals 4,Nuclear,2021-12-31 23:00:00+00:00,400,2023
46WPU0000000015W,10Y1001A1001A46L,988.0,Forsmark block 1,Nuclear,2021-12-31 23:00:00+00:00,400,2023
46WPU0000000016U,10Y1001A1001A46L,1118.0,Forsmark block 2,Nuclear,2021-12-31 23:00:00+00:00,400,2023
46WPU0000000017S,10Y1001A1001A46L,1172.0,Forsmark block 3,Nuclear,2021-12-31 23:00:00+00:00,400,2023
46WPU0000000018Q,10Y1001A1001A46L,330.0,Trängslet,Hydro Water Reservoir,2021-12-31 23:00:00+00:00,130,2023
46WPU0000000022Z,10Y1001A1001A46L,140.0,Höljes,Hydro Water Reservoir,2021-12-31 23:00:00+00:00,130,2023
46WPU0000000023X,10Y1001A1001A46L,504.0,Värtaverket,Fossil Oil,2021-12-31 23:00:00+00:00,110,2023
46WPU0000000053O,10Y1001A1001A46L,120.0,Älvkarleby,Hydro Water Reservoir,2021-12-31 23:00:00+00:00,70,2023
46WPU0000000054M,10Y1001A1001A46L,168.0,Hojum,Hydro Water Reservoir,2021-12-31 23:00:00+00:00,130,2023
46WPU0000000055K,10Y1001A1001A46L,120.0,Uppsala KVV,Fossil Peat,2021-12-31 23:00:00+00:00,40,2023
46WPU0000000061P,10Y1001A1001A46L,1400.0,Oskarshamn 3,Nuclear,2021-12-31 23:00:00+00:00,400,2023
46WPU0000000062N,10Y1001A1001A46L,260.0,Rya KVV ,Fossil Gas,2021-12-31 23:00:00+00:00,130,2023
46WPU0000000063L,10Y1001A1001A46L,100.0,Åbyverket G3,Biomass,2021-12-31 23:00:00+00:00,130,2023
46WPU0000000064J,10Y1001A1001A46L,245.0,Aros G3,Fossil Oil,2021-12-31 23:00:00+00:00,130,2023
46WPU0000000065H,10Y1001A1001A46L,213.0,Jädraås Vindkraftpark,Wind Onshore,2021-12-31 23:00:00+00:00,130,2023
46WPU0000000115S,10Y1001A1001A46L,115.0,Svartnäs,Wind Onshore,2021-12-31 23:00:00+00:00,130,2023
46WPU00000000121,10Y1001A1001A46L,1063.0,Ringhals 3,Nuclear,2021-12-31 23:00:00+00:00,400,2023
46WPU0000000130W,10Y1001A1001A46L,11.8,Eken,Solar,2021-12-31 23:00:00+00:00,130,2023
46WPU0000000131U,10Y1001A1001A46L,116.0,Målarberget,Wind Onshore,2021-12-31 23:00:00+00:00,130,2023
46WPU0000000139E,10Y1001A1001A46L,130.0,Bäckhammar,Wind Onshore,2021-12-31 23:00:00+00:00,130,2023
46WPU0000000154I,10Y1001A1001A46L,240.0,Storflötten och Lästerhöjden,Wind Onshore,2021-12-31 23:00:00+00:00,36,2023
46WPU0000000156E,10Y1001A1001A46L,61.0,Kronoberget,Wind Onshore,2021-12-31 23:00:00+00:00,130,2023
46WPU0000000157C,10Y1001A1001A46L,120.0,Slite gasturbin,Fossil Gas,2022-12-31 23:00:00+00:00,70,2023
46WPU0000000014Y,10Y1001A1001A46L,1134.0,Ringhals 4,Nuclear,2022-12-31 23:00:00+00:00,400,2024
46WPU0000000015W,10Y1001A1001A46L,1014.0,Forsmark block 1,Nuclear,2023-12-31 23:00:00+00:00,400,2024
46WPU0000000016U,10Y1001A1001A46L,1121.0,Forsmark block 2,Nuclear,2023-12-31 23:00:00+00:00,400,2024
46WPU0000000017S,10Y1001A1001A46L,1172.0,Forsmark block 3,Nuclear,2022-12-31 23:00:00+00:00,400,2024
46WPU0000000018Q,10Y1001A1001A46L,330.0,Trängslet,Hydro Water Reservoir,2022-12-31 23:00:00+00:00,130,2024
46WPU0000000022Z,10Y1001A1001A46L,140.0,Höljes,Hydro Water Reservoir,2022-12-31 23:00:00+00:00,130,2024
46WPU0000000023X,10Y1001A1001A46L,374.0,Värtaverket,Fossil Oil,2023-12-31 23:00:00+00:00,220,2024
46WPU0000000053O,10Y1001A1001A46L,120.0,Älvkarleby,Hydro Water Reservoir,2022-12-31 23:00:00+00:00,70,2024
46WPU0000000054M,10Y1001A1001A46L,168.0,Hojum,Hydro Water Reservoir,2022-12-31 23:00:00+00:00,130,2024
46WPU0000000061P,10Y1001A1001A46L,1400.0,Oskarshamn 3,Nuclear,2022-12-31 23:00:00+00:00,400,2024
46WPU0000000062N,10Y1001A1001A46L,260.0,Rya KVV ,Fossil Gas,2022-12-31 23:00:00+00:00,130,2024
46WPU0000000063L,10Y1001A1001A46L,100.0,Åbyverket G3,Biomass,2022-12-31 23:00:00+00:00,130,2024
46WPU0000000065H,10Y1001A1001A46L,213.0,Jädraås Vindkraftpark,Wind Onshore,2022-12-31 23:00:00+00:00,130,2024
46WPU0000000115S,10Y1001A1001A46L,115.0,Svartnäs,Wind Onshore,2022-12-31 23:00:00+00:00,130,2024
46WPU00000000121,10Y1001A1001A46L,1063.0,Ringhals 3,Nuclear,2022-12-31 23:00:00+00:00,400,2024
46WPU0000000130W,10Y1001A1001A46L,11.8,Eken,Solar,2022-12-31 23:00:00+00:00,130,2024
46WPU0000000131U,10Y1001A1001A46L,116.0,Målarberget,Wind Onshore,2022-12-31 23:00:00+00:00,130,2024
46WPU0000000139E,10Y1001A1001A46L,130.0,Bäckhammar,Wind Onshore,2022-12-31 23:00:00+00:00,130,2024
46WPU0000000154I,10Y1001A1001A46L,240.0,Storflötten och Lästerhöjden,Wind Onshore,2022-12-31 23:00:00+00:00,36,2024
46WPU0000000156E,10Y1001A1001A46L,61.0,Kronoberget,Wind Onshore,2022-12-31 23:00:00+00:00,130,2024
46WPU0000000157C,10Y1001A1001A46L,120.0,Slite gasturbin,Fossil Oil,2023-12-31 23:00:00+00:00,70,2024
46WPU0000000014Y,10Y1001A1001A46L,1134.0,Ringhals 4,Nuclear,2023-12-31 23:00:00+00:00,400,2025
46WPU0000000015W,10Y1001A1001A46L,1040.0,Forsmark block 1,Nuclear,2024-12-31 23:00:00+00:00,400,2025
46WPU0000000016U,10Y1001A1001A46L,1121.0,Forsmark block 2,Nuclear,2023-12-31 23:00:00+00:00,400,2025
46WPU0000000017S,10Y1001A1001A46L,1172.0,Forsmark block 3,Nuclear,2023-12-31 23:00:00+00:00,400,2025
46WPU0000000018Q,10Y1001A1001A46L,330.0,Trängslet,Hydro Water Reservoir,2023-12-31 23:00:00+00:00,130,2025
46WPU0000000022Z,10Y1001A1001A46L,140.0,Höljes,Hydro Water Reservoir,2023-12-31 23:00:00+00:00,130,2025
46WPU0000000023X,10Y1001A1001A46L,384.0,Värtaverket,Biomass,2024-12-31 23:00:00+00:00,220,2025
46WPU0000000053O,10Y1001A1001A46L,120.0,Älvkarleby,Hydro Water Reservoir,2023-12-31 23:00:00+00:00,70,2025
46WPU0000000054M,10Y1001A1001A46L,168.0,Hojum,Hydro Water Reservoir,2023-12-31 23:00:00+00:00,130,2025
46WPU0000000061P,10Y1001A1001A46L,1400.0,Oskarshamn 3,Nuclear,2023-12-31 23:00:00+00:00,400,2025
46WPU0000000062N,10Y1001A1001A46L,260.0,Rya KVV ,Fossil Gas,2023-12-31 23:00:00+00:00,130,2025
46WPU0000000063L,10Y1001A1001A46L,100.0,Åbyverket G3,Biomass,2023-12-31 23:00:00+00:00,130,2025
46WPU0000000065H,10Y1001A1001A46L,213.0,Jädraås Vindkraftpark,Wind Onshore,2023-12-31 23:00:00+00:00,130,2025
46WPU0000000115S,10Y1001A1001A46L,115.0,Svartnäs,Wind Onshore,2023-12-31 23:00:00+00:00,130,2025
46WPU00000000121,10Y1001A1001A46L,1063.0,Ringhals 3,Nuclear,2023-12-31 23:00:00+00:00,400,2025
46WPU0000000130W,10Y1001A1001A46L,11.8,Eken,Solar,2023-12-31 23:00:00+00:00,130,2025
46WPU0000000131U,10Y1001A1001A46L,116.0,Målarberget,Wind Onshore,2023-12-31 23:00:00+00:00,130,2025
46WPU0000000139E,10Y1001A1001A46L,130.0,Bäckhammar,Wind Onshore,2023-12-31 23:00:00+00:00,130,2025
46WPU0000000154I,10Y1001A1001A46L,240.0,Storflötten och Lästerhöjden,Wind Onshore,2023-12-31 23:00:00+00:00,36,2025
46WPU0000000156E,10Y1001A1001A46L,61.0,Kronoberget,Wind Onshore,2023-12-31 23:00:00+00:00,130,2025
46WPU0000000157C,10Y1001A1001A46L,120.0,Slite gasturbin,Fossil Oil,2023-12-31 23:00:00+00:00,70,2025
46WPU0000000209J,10Y1001A1001A46L,115.0,Ånglarna,Wind Onshore,2024-12-31 23:00:00+00:00,130,2025
46WPU0000000014Y,10Y1001A1001A46L,1134.0,Ringhals 4,Nuclear,2024-12-31 23:00:00+00:00,400,2026
46WPU0000000015W,10Y1001A1001A46L,1100.0,Forsmark block 1,Nuclear,2025-12-31 23:00:00+00:00,400,2026
46WPU0000000016U,10Y1001A1001A46L,1121.0,Forsmark block 2,Nuclear,2024-12-31 23:00:00+00:00,400,2026
46WPU0000000017S,10Y1001A1001A46L,1172.0,Forsmark block 3,Nuclear,2024-12-31 23:00:00+00:00,400,2026
46WPU0000000018Q,10Y1001A1001A46L,330.0,Trängslet,Hydro Water Reservoir,2024-12-31 23:00:00+00:00,130,2026
46WPU0000000022Z,10Y1001A1001A46L,140.0,Höljes,Hydro Water Reservoir,2024-12-31 23:00:00+00:00,130,2026
46WPU0000000023X,10Y1001A1001A46L,384.0,Värtaverket,Biomass,2024-12-31 23:00:00+00:00,220,2026
46WPU0000000053O,10Y1001A1001A46L,120.0,Älvkarleby,Hydro Water Reservoir,2024-12-31 23:00:00+00:00,70,2026
46WPU0000000054M,10Y1001A1001A46L,168.0,Hojum,Hydro Water Reservoir,2024-12-31 23:00:00+00:00,130,2026
46WPU0000000056I,10Y1001A1001A46L,260.0,Stenungsund B3,Fossil Oil,2025-12-31 23:00:00+00:00,130,2026
46WPU0000000057G,10Y1001A1001A46L,260.0,Stenungsund B4,Fossil Oil,2025-12-31 23:00:00+00:00,130,2026
46WPU0000000061P,10Y1001A1001A46L,1400.0,Oskarshamn 3,Nuclear,2024-12-31 23:00:00+00:00,400,2026
46WPU0000000062N,10Y1001A1001A46L,260.0,Rya KVV ,Fossil Gas,2024-12-31 23:00:00+00:00,130,2026
46WPU0000000063L,10Y1001A1001A46L,100.0,Åbyverket G3,Biomass,2024-12-31 23:00:00+00:00,130,2026
46WPU0000000065H,10Y1001A1001A46L,213.0,Jädraås Vindkraftpark,Wind Onshore,2024-12-31 23:00:00+00:00,130,2026
46WPU0000000115S,10Y1001A1001A46L,115.0,Svartnäs,Wind Onshore,2024-12-31 23:00:00+00:00,130,2026
46WPU00000000121,10Y1001A1001A46L,1063.0,Ringhals 3,Nuclear,2024-12-31 23:00:00+00:00,400,2026
46WPU0000000130W,10Y1001A1001A46L,11.8,Eken,Solar,2024-12-31 23:00:00+00:00,130,2026
46WPU0000000131U,10Y1001A1001A46L,116.0,Målarberget,Wind Onshore,2024-12-31 23:00:00+00:00,130,2026
46WPU0000000139E,10Y1001A1001A46L,130.0,Bäckhammar,Wind Onshore,2024-12-31 23:00:00+00:00,130,2026
46WPU0000000154I,10Y1001A1001A46L,240.0,Storflötten och Lästerhöjden,Wind Onshore,2024-12-31 23:00:00+00:00,36,2026
46WPU0000000156E,10Y1001A1001A46L,61.0,Kronoberget,Wind Onshore,2024-12-31 23:00:00+00:00,130,2026
46WPU0000000157C,10Y1001A1001A46L,120.0,Slite gasturbin,Fossil Oil,2024-12-31 23:00:00+00:00,70,2026
46WPU0000000209J,10Y1001A1001A46L,115.0,Ånglarna,Wind Onshore,2024-12-31 23:00:00+00:00,130,2026
46WPU0000000234K,10Y1001A1001A46L,138.0,Bruzaholm,Wind Onshore,2025-12-31 23:00:00+00:00,130,2026
46WPU0000000235I,10Y1001A1001A46L,91.4,Hultsfred,Solar,2025-12-31 23:00:00+00:00,20,2026
46WPU0000000240P,10Y1001A1001A46L,93.0,Älgkullen,Wind Onshore,2025-12-31 23:00:00+00:00,130,2026
